ENTREZ_ID	HGNC_ID	HUGO_SYMBOL	BAND	SYNONYMS
4780	7782	NFE2L2	2q31	HEBP1|NRF2
199990	26428	FAAP20	1p36.33	C1orf86|FP7162
7307	12453	U2AF1	21q22.3	FP793|RN|RNU2AF1|U2AF35|U2AFBP
55294	16712	FBXW7	4q31.3	AGO|CDC4|FBW6|FBW7|FBX30|FBXO30|FBXW6|SEL-10|SEL10|hAgo|hCdc4
26575	14088	RGS17	6q25.3	RGS-17|RGSZ2|hRGS17
28728	12056	TRAJ27	14q11	-
7514	12825	XPO1	2p15	CRM1|emb|exp1
28729	12055	TRAJ26	14q11	-
1793	2987	DOCK1	10q26.13-q26.3	DOCK180|ced5
1523	2557	CUX1	7q22.1	CASP|CDP|CDP/Cut|CDP1|COY1|CUTL1|CUX|Clox|Cux/CDP|GOLIM6|Nbla10317|p100|p110|p200|p75
84433	16393	CARD11	7p22	BENTA|BIMP3|CARMA1|IMD11|PPBL
6098	10261	ROS1	6q22	MCF3|ROS|c-ros-1
6154	10327	RPL26	17p13	DBA11|L26
1496	2510	CTNNA2	2p12-p11.1	CAP-R|CAPR|CT114|CTNR
28723	12062	TRAJ32	14q11	-
1499	2514	CTNNB1	3p21	CTNNB|MRD19|armadillo
2178	3586	FANCE	6p21.31	FACE|FAE
6794	11389	STK11	19p13.3	LKB1|PJS|hLKB1
28721	12064	TRAJ34	14q11	-
6790	11393	AURKA	20q13	AIK|ARK1|AURA|AURORA2|BTAK|PPP1R47|STK15|STK6|STK7
6657	11195	SOX2	3q26.33	ANOP3|MCOPS3
5914	9864	RARA	17q21	NR1B1|RAR
10806	10671	SDCCAG8	1q43	BBS16|CCCAP|CCCAP SLSN7|HSPC085|NPHP10|NY-CO-8|SLSN7|hCCCAP
28725	12060	TRAJ30	14q11	-
5594	6871	MAPK1	22q11.21	ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK
8233	23019	ZRSR2	Xp22.1	U2AF1-RS2|U2AF1L2|U2AF1RS2|URP|ZC3H22
595	1582	CCND1	11q13	BCL1|D11S287E|PRAD1|U21B31
6597	11100	SMARCA4	19p13.2	BAF190|BAF190A|BRG1|MRD16|RTPS2|SNF2|SNF2L4|SNF2LB|SWI2|hSNF2b
6987	12297	TRGVB	7p14	TCRGVB|V6P
598	992	BCL2L1	20q11.21	BCL-XL/S|BCL2L|BCLX|Bcl-X|PPP1R52
6985	12286	TRGV11	7p14	TCRGV11|V4P
6389	10680	SDHA	5p15	CMD1GG|FP|PGL5|SDH1|SDH2|SDHF
196528	18037	ARID2	12q12	BAF200|p200
79728	26144	PALB2	16p12.2	FANCN|PNCA3
3020	4764	H3F3A	1q42.12	H3.3A|H3F3
253559	29849	CADM2	3p12.1	IGSF4D|NECL3|Necl-3|SynCAM 2|synCAM2
1019	1773	CDK4	12q14	CMM3|PSK-J3
